1272-128104-0000	MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL
6841-88294-0055	WHY DON'T YOU GET YOUR TREASURE WITHOUT THE NEED OF DIVIDING IT
6841-88294-0056	WHY MATE HE ANSWERED IT'S JUST PLAIN GRATITUDE
6841-88294-0057	DIDN'T YOU SAVE MY LIFE AND NUSS ME AND TAKE CARE OF ME WHEN I WAS NIGH KILLED
6841-88294-0058	LOOK HERE ANDERSON OR HANDY SOLOMON OR WHATEVER YOU PLEASE TO CALL YOURSELF I REJOINED TO THIS IF YOU'RE GOING TO DO BUSINESS WITH ME AND I DO NOT UNDERSTAND YET JUST WHAT IT IS YOU WANT OF ME YOU'LL HAVE TO TALK STRAIGHT
6841-88294-0059	IT'S ALL VERY WELL TO SAY GRATITUDE BUT THAT DON'T GO WITH ME
6841-88294-0060	THE DEVIL'S A PREACHER IF YOU AIN'T LOST YOUR PINFEATHERS SAID HE
6841-88294-0061	WELL IT'S THIS THEN I GOT TO HAVE A BOAT TO GET THERE AND SHE MUST BE STOCKED
6841-88294-0062	AND I GOT TO HAVE HELP WITH THE TREASURE IF IT'S LIKE THIS FELLOW SAID IT WAS
6841-88294-0063	IT'S MONEY I GOT TO HAVE AND IT'S MONEY I HAVEN'T GOT AND CAN'T GET UNLESS I LET SOMEBODY IN AS PARDNER
6841-88294-0064	WHY ME I ASKED WHY NOT HE RETORTED
6841-88294-0065	WE TALKED THE MATTER OVER AT LENGTH
6841-88294-0066	I STOOD OUT FOR A LARGER PARTY
6841-88294-0067	HE STRONGLY OPPOSED THIS AS DEPRECIATING THE SHARES BUT I HAD NO INTENTION OF GOING ALONE INTO WHAT WAS THEN CONSIDERED A WILD AND DANGEROUS COUNTRY FINALLY WE COMPROMISED
6841-88294-0068	A THIRD OF THE TREASURE WAS TO GO TO HIM A THIRD TO ME AND THE REST WAS TO BE DIVIDED AMONG THE MEN WHOM I SHOULD SELECT THIS SCHEME DID NOT APPEAL TO HIM
700-122866-0000	JUNIOR AVONLEA FOUND IT HARD TO SETTLE DOWN TO HUMDRUM EXISTENCE AGAIN
700-122866-0001	PERHAPS AFTER A WHILE I'LL GET USED TO IT BUT I'M AFRAID CONCERTS SPOIL PEOPLE FOR EVERYDAY LIFE
700-122866-0002	I SUPPOSE THAT IS WHY MARILLA DISAPPROVES OF THEM
700-122866-0003	I FEEL JUST NOW THAT I MAY GROW UP TO BE SENSIBLE YET
700-122866-0004	I JUST LAY AWAKE AND IMAGINED THE CONCERT OVER AND OVER AGAIN
700-122866-0005	EVENTUALLY HOWEVER AVONLEA SCHOOL SLIPPED BACK INTO ITS OLD GROOVE AND TOOK UP ITS OLD INTERESTS
700-122866-0006	NONE OF THE SLOANES WOULD HAVE ANY DEALINGS WITH THE BELLS BECAUSE THE BELLS HAD DECLARED THAT THE SLOANES HAD TOO MUCH TO DO IN THE PROGRAM AND THE SLOANES HAD RETORTED THAT THE BELLS WERE NOT CAPABLE OF DOING THE LITTLE THEY HAD TO DO PROPERLY
700-122866-0007	THE WINTER WEEKS SLIPPED BY
700-122866-0008	ON ANNE'S BIRTHDAY THEY WERE TRIPPING LIGHTLY DOWN IT KEEPING EYES AND EARS ALERT AMID ALL THEIR CHATTER FOR MISS STACY HAD TOLD THEM THAT THEY MUST SOON WRITE A COMPOSITION ON A WINTER'S WALK IN THE WOODS AND IT BEHOOVED THEM TO BE OBSERVANT
700-122866-0009	I CAN SCARCELY REALIZE THAT I'M IN MY TEENS
700-122866-0010	IT'S A GREAT COMFORT TO THINK THAT I'LL BE ABLE TO USE BIG WORDS THEN WITHOUT BEING LAUGHED AT
700-122866-0011	RUBY GILLIS THINKS OF NOTHING BUT BEAUS SAID ANNE DISDAINFULLY
700-122866-0012	SHE'S ACTUALLY DELIGHTED WHEN ANYONE WRITES HER NAME UP IN A TAKE NOTICE FOR ALL SHE PRETENDS TO BE SO MAD
700-122866-0013	I'M TRYING TO BE AS MUCH LIKE MISSUS ALLAN AS I POSSIBLY CAN FOR I THINK SHE'S PERFECT
700-122866-0014	IF I HAD ALICE BELL'S CROOKED NOSE SAID ANNE DECIDEDLY I WOULDN'T BUT THERE
700-122866-0015	I'M AFRAID I THINK TOO MUCH ABOUT MY NOSE EVER SINCE I HEARD THAT COMPLIMENT ABOUT IT LONG AGO
700-122866-0016	OH DIANA LOOK THERE'S A RABBIT
700-122866-0017	THEY'RE SO WHITE AND STILL AS IF THEY WERE ASLEEP AND DREAMING PRETTY DREAMS
700-122866-0018	I WROTE IT LAST MONDAY EVENING
700-122866-0019	IT'S CALLED THE JEALOUS RIVAL OR IN DEATH NOT DIVIDED
700-122866-0020	I READ IT TO MARILLA AND SHE SAID IT WAS STUFF AND NONSENSE
700-122866-0021	IT'S A SAD SWEET STORY
700-122866-0022	CORDELIA WAS A REGAL BRUNETTE WITH A CORONET OF MIDNIGHT HAIR AND DUSKLY FLASHING EYES
700-122866-0023	YOU KNOW SO MUCH MORE THAN YOU DID WHEN YOU WERE ONLY TWELVE
700-122866-0024	THEY GREW IN BEAUTY SIDE BY SIDE UNTIL THEY WERE SIXTEEN
700-122866-0025	I ASKED RUBY GILLIS IF SHE KNEW ANYTHING ABOUT HOW MEN PROPOSED BECAUSE I THOUGHT SHE'D LIKELY BE AN AUTHORITY ON THE SUBJECT HAVING SO MANY SISTERS MARRIED
700-122866-0026	BUT SHE PRETENDED TO BE GERALDINE'S FRIEND THE SAME AS EVER
700-122866-0027	LET YOU AND ME HAVE A STORY CLUB ALL OUR OWN AND WRITE STORIES FOR PRACTICE
700-122866-0028	YOU OUGHT TO CULTIVATE YOUR IMAGINATION YOU KNOW MISS STACY SAYS SO
700-122866-0029	ONLY WE MUST TAKE THE RIGHT WAY
700-122866-0030	THIS WAS HOW THE STORY CLUB CAME INTO EXISTENCE
700-122866-0031	NO BOYS WERE ALLOWED IN IT ALTHOUGH RUBY GILLIS OPINED THAT THEIR ADMISSION WOULD MAKE IT MORE EXCITING AND EACH MEMBER HAD TO PRODUCE ONE STORY A WEEK
700-122866-0032	EACH GIRL HAS TO READ HER STORY OUT LOUD AND THEN WE TALK IT OVER
700-122866-0033	MINE IS ROSAMOND MONTMORENCY ALL THE GIRLS DO PRETTY WELL
700-122866-0034	I'M SURE THAT MUST HAVE A WHOLESOME EFFECT
700-122866-0035	THE MORAL IS THE GREAT THING MISTER ALLAN SAYS SO
700-122866-0036	I READ ONE OF MY STORIES TO HIM AND MISSUS ALLAN AND THEY BOTH AGREED THAT THE MORAL WAS EXCELLENT
700-122866-0037	JANE AND RUBY ALMOST ALWAYS CRY WHEN I COME TO THE PATHETIC PARTS
700-122866-0038	MISS JOSEPHINE BARRY WROTE BACK THAT SHE HAD NEVER READ ANYTHING SO AMUSING IN HER LIFE
700-122866-0039	I'M SURE MISSUS ALLAN WAS NEVER SUCH A SILLY FORGETFUL LITTLE GIRL AS YOU ARE
700-122866-0040	I FELT SO ENCOURAGED WHEN I HEARD THAT
700-122866-0041	MISSUS LYNDE SAYS SHE ALWAYS FEELS SHOCKED WHEN SHE HEARS OF ANYONE EVER HAVING BEEN NAUGHTY NO MATTER HOW SMALL THEY WERE
700-122866-0042	NOW I WOULDN'T HAVE FELT THAT WAY
700-122867-0000	VANITY AND VEXATION OF SPIRIT
700-122867-0001	THE SPRING WAS ABROAD IN THE LAND AND MARILLA'S SOBER MIDDLE AGED STEP WAS LIGHTER AND SWIFTER BECAUSE OF ITS DEEP PRIMAL GLADNESS
700-122867-0002	I MUST SAY WITH ALL HER FAULTS I NEVER FOUND HER DISOBEDIENT OR UNTRUSTWORTHY BEFORE AND I'M REAL SORRY TO FIND HER SO NOW
700-122867-0003	PERHAPS YOU'RE JUDGING HER TOO HASTY MARILLA
700-122867-0004	OF COURSE I KNEW YOU'D TAKE HER PART MATTHEW BUT I'M BRINGING HER UP NOT YOU
700-122867-0005	DEMANDED MARILLA ANXIOUSLY GOING OVER TO THE BED
700-122867-0006	ANNE COWERED DEEPER INTO HER PILLOWS AS IF DESIROUS OF HIDING HERSELF FOREVER FROM MORTAL EYES NO
700-122867-0007	GET RIGHT UP THIS MINUTE AND TELL ME
700-122867-0008	THIS MINUTE I SAY THERE NOW WHAT IS IT
700-122867-0009	ANNE HAD SLID TO THE FLOOR IN DESPAIRING OBEDIENCE
700-122867-0010	YES IT'S GREEN MOANED ANNE
700-122867-0011	I THOUGHT NOTHING COULD BE AS BAD AS RED HAIR
700-122867-0012	YOU HAVEN'T GOT INTO ANY SCRAPE FOR OVER TWO MONTHS AND I WAS SURE ANOTHER ONE WAS DUE
700-122867-0013	NOW THEN WHAT DID YOU DO TO YOUR HAIR
700-122867-0014	ANNE SHIRLEY DIDN'T YOU KNOW IT WAS A WICKED THING TO DO
700-122867-0015	YES I KNEW IT WAS A LITTLE WICKED ADMITTED ANNE
700-122867-0016	I KNOW WHAT IT FEELS LIKE TO HAVE YOUR WORD DOUBTED
700-122867-0017	AND MISSUS ALLAN SAYS WE SHOULD NEVER SUSPECT ANYONE OF NOT TELLING US THE TRUTH UNLESS WE HAVE PROOF THAT THEY'RE NOT
700-122867-0018	BUT I HADN'T THEN AND I BELIEVED EVERY WORD HE SAID IMPLICITLY
700-122867-0019	WHO SAID WHO ARE YOU TALKING ABOUT
700-122867-0020	OH I DIDN'T LET HIM IN THE HOUSE
700-122867-0021	IN A TRICE I SAW MYSELF WITH BEAUTIFUL RAVEN BLACK HAIR AND THE TEMPTATION WAS IRRESISTIBLE
700-122867-0022	OH MARILLA WHAT A TANGLED WEB WE WEAVE WHEN FIRST WE PRACTICE TO DECEIVE
700-122867-0023	YOUR HAIR MUST BE CUT OFF THERE IS NO OTHER WAY YOU CAN'T GO OUT WITH IT LOOKING LIKE THAT
700-122867-0024	WITH A DISMAL SIGH SHE WENT FOR THE SCISSORS
700-122867-0025	BUT THERE IS NOTHING COMFORTING IN HAVING YOUR HAIR CUT OFF BECAUSE YOU'VE DYED IT A DREADFUL COLOR IS THERE
700-122867-0026	I'M GOING TO WEEP ALL THE TIME YOU'RE CUTTING IT OFF IF IT WON'T INTERFERE
700-122867-0027	IT SEEMS SUCH A TRAGIC THING
700-122867-0028	ANNE WEPT THEN BUT LATER ON WHEN SHE WENT UPSTAIRS AND LOOKED IN THE GLASS SHE WAS CALM WITH DESPAIR
700-122867-0029	YES I WILL TOO
700-122867-0030	I NEVER THOUGHT I WAS VAIN ABOUT MY HAIR OF ALL THINGS BUT NOW I KNOW I WAS IN SPITE OF ITS BEING RED BECAUSE IT WAS SO LONG AND THICK AND CURLY
700-122867-0031	I EXPECT SOMETHING WILL HAPPEN TO MY NOSE NEXT
700-122867-0032	ANNE'S CLIPPED HEAD MADE A SENSATION IN SCHOOL ON THE FOLLOWING MONDAY BUT TO HER RELIEF NOBODY GUESSED THE REAL REASON FOR IT NOT EVEN JOSIE PYE WHO HOWEVER DID NOT FAIL TO INFORM ANNE THAT SHE LOOKED LIKE A PERFECT SCARECROW
700-122867-0033	IT'S HARD TO BE TOLD YOU LOOK LIKE A SCARECROW AND I WANTED TO SAY SOMETHING BACK BUT I DIDN'T
700-122867-0034	IT MAKES YOU FEEL VERY VIRTUOUS WHEN YOU FORGIVE PEOPLE DOESN'T IT
700-122867-0035	I MEAN TO DEVOTE ALL MY ENERGIES TO BEING GOOD AFTER THIS AND I SHALL NEVER TRY TO BE BEAUTIFUL AGAIN
700-122867-0036	OF COURSE IT'S BETTER TO BE GOOD
700-122867-0037	I DO REALLY WANT TO BE GOOD MARILLA LIKE YOU AND MISSUS ALLAN AND MISS STACY AND GROW UP TO BE A CREDIT TO YOU
700-122867-0038	DIANA SAYS WHEN MY HAIR BEGINS TO GROW TO TIE A BLACK VELVET RIBBON AROUND MY HEAD WITH A BOW AT ONE SIDE
700-122867-0039	I WILL CALL IT A SNOOD THAT SOUNDS SO ROMANTIC
700-122867-0040	MY HEAD IS BETTER NOW
700-122867-0041	IT WAS TERRIBLE BAD THIS AFTERNOON THOUGH
700-122868-0000	OF COURSE YOU MUST BE ELAINE ANNE SAID DIANA
700-122868-0001	OF COURSE IT WOULD BE ROMANTIC CONCEDED JANE ANDREWS BUT I KNOW I COULDN'T KEEP STILL
700-122868-0002	BUT IT'S SO RIDICULOUS TO HAVE A REDHEADED ELAINE MOURNED ANNE
700-122868-0003	AND ELAINE WAS THE LILY MAID
700-122868-0004	YOUR COMPLEXION IS JUST AS FAIR AS RUBY'S SAID DIANA EARNESTLY AND YOUR HAIR IS EVER SO MUCH DARKER THAN IT USED TO BE BEFORE YOU CUT IT
700-122868-0005	IT WAS SPLENDID TO FISH FOR TROUT OVER THE BRIDGE AND THE TWO GIRLS LEARNED TO ROW THEMSELVES ABOUT IN THE LITTLE FLAT BOTTOMED DORY MISTER BARRY KEPT FOR DUCK SHOOTING
700-122868-0006	IT WAS ANNE'S IDEA THAT THEY DRAMATIZE ELAINE
700-122868-0007	THOSE DAYS SHE SAID WERE SO MUCH MORE ROMANTIC THAN THE PRESENT
700-122868-0008	THEY HAD OFTEN GONE DOWN LIKE THIS AND NOTHING COULD BE MORE CONVENIENT FOR PLAYING ELAINE
700-122868-0009	THE BLACK SHAWL HAVING BEEN PROCURED ANNE SPREAD IT OVER THE FLAT AND THEN LAY DOWN ON THE BOTTOM WITH CLOSED EYES AND HANDS FOLDED OVER HER BREAST
700-122868-0010	IT SPOILS THE EFFECT BECAUSE THIS IS HUNDREDS OF YEARS BEFORE MISSUS LYNDE WAS BORN
700-122868-0011	JANE YOU ARRANGE THIS
700-122868-0012	IT'S SILLY FOR ELAINE TO BE TALKING WHEN SHE'S DEAD
700-122868-0013	JANE ROSE TO THE OCCASION
700-122868-0014	LEFT BEHIND AT THE LANDING
700-122868-0015	ANNE GAVE ONE GASPING LITTLE SCREAM WHICH NOBODY EVER HEARD SHE WAS WHITE TO THE LIPS BUT SHE DID NOT LOSE HER SELF POSSESSION
700-122868-0016	THERE WAS ONE CHANCE JUST ONE
700-122868-0017	UNDER SUCH CIRCUMSTANCES YOU DON'T THINK MUCH ABOUT MAKING A FLOWERY PRAYER
700-122868-0018	THE FLAT DRIFTED UNDER THE BRIDGE AND THEN PROMPTLY SANK IN MIDSTREAM
700-122868-0019	RUBY JANE AND DIANA ALREADY AWAITING IT ON THE LOWER HEADLAND SAW IT DISAPPEAR BEFORE THEIR VERY EYES AND HAD NOT A DOUBT BUT THAT ANNE HAD GONE DOWN WITH IT
700-122868-0020	THE MINUTES PASSED BY EACH SEEMING AN HOUR TO THE UNFORTUNATE LILY MAID
700-122868-0021	WHY DIDN'T SOMEBODY COME WHERE HAD THE GIRLS GONE
700-122868-0022	HER IMAGINATION BEGAN TO SUGGEST ALL MANNER OF GRUESOME POSSIBILITIES TO HER
700-122868-0023	ANNE SHIRLEY
700-122868-0024	HOW ON EARTH DID YOU GET THERE HE EXCLAIMED
700-122868-0025	IT WAS CERTAINLY EXTREMELY DIFFICULT TO BE DIGNIFIED UNDER THE CIRCUMSTANCES
700-122868-0026	WHAT HAS HAPPENED ANNE
700-122868-0027	ASKED GILBERT TAKING UP HIS OARS
700-122868-0028	WE WERE PLAYING ELAINE EXPLAINED ANNE FRIGIDLY WITHOUT EVEN LOOKING AT HER RESCUER AND I HAD TO DRIFT DOWN TO CAMELOT IN THE BARGE I MEAN THE FLAT
700-122868-0029	FOR A MOMENT ANNE HESITATED
700-122868-0030	HER HEART GAVE A QUICK QUEER LITTLE BEAT
700-122868-0031	HER RESENTMENT WHICH TO OTHER AND OLDER PEOPLE MIGHT BE AS LAUGHABLE AS ITS CAUSE WAS IN NO WHIT ALLAYED AND SOFTENED BY TIME SEEMINGLY
700-122868-0032	NO SHE SAID COLDLY I SHALL NEVER BE FRIENDS WITH YOU GILBERT BLYTHE AND I DON'T WANT TO BE
700-122868-0033	ALL RIGHT
700-122868-0034	I'LL NEVER ASK YOU TO BE FRIENDS AGAIN ANNE SHIRLEY AND I DON'T CARE EITHER
700-122868-0035	OF COURSE HE HAD INSULTED HER TERRIBLY BUT STILL
700-122868-0036	EVERYTHING I DO GETS ME OR MY DEAREST FRIENDS INTO A SCRAPE
700-122868-0037	ANNE'S PRESENTIMENT PROVED MORE TRUSTWORTHY THAN PRESENTIMENTS ARE APT TO DO
700-122868-0038	WILL YOU EVER HAVE ANY SENSE ANNE GROANED MARILLA
700-122868-0039	I DON'T SEE HOW SAID MARILLA
700-122868-0040	EVER SINCE I CAME TO GREEN GABLES I'VE BEEN MAKING MISTAKES AND EACH MISTAKE HAS HELPED TO CURE ME OF SOME GREAT SHORTCOMING
7641-96252-0000	THUS WHEN DOGMAS LEAD IT WHAT THE MAN REALLY AND IN GENERAL WILLS REMAINS STILL THE SAME
7641-96252-0001	FOR THESE ARE CAREFUL ONLY FOR THEMSELVES FOR THEIR OWN EGOISM JUST LIKE THE BANDIT FROM WHOM THEY ARE ONLY DISTINGUISHED BY THE ABSURDITY OF THEIR MEANS
7641-96252-0002	THE DEEDS AND CONDUCT OF AN INDIVIDUAL AND OF A NATION MAY BE VERY MUCH MODIFIED THROUGH DOGMAS EXAMPLE AND CUSTOM
7641-96252-0003	WITH AN EQUAL DEGREE OF WICKEDNESS ONE MAN MAY DIE ON THE WHEEL AND ANOTHER IN THE BOSOM OF HIS FAMILY
7641-96252-0004	IT IS CONCEIVABLE THAT A PERFECT STATE OR PERHAPS INDEED A COMPLETE AND FIRMLY BELIEVED DOCTRINE OF REWARDS AND PUNISHMENTS AFTER DEATH MIGHT PREVENT EVERY CRIME POLITICALLY MUCH WOULD BE GAINED THEREBY MORALLY NOTHING ONLY THE EXPRESSION OF THE WILL IN LIFE WOULD BE RESTRICTED
7641-96252-0005	WE WHO HERE SEEK THE THEORY OF VIRTUE AND HAVE THEREFORE ALSO TO EXPRESS ABSTRACTLY THE NATURE OF THE KNOWLEDGE WHICH LIES AT ITS FOUNDATION WILL YET BE UNABLE TO CONVEY THAT KNOWLEDGE ITSELF IN THIS EXPRESSION
7641-96252-0006	HE SEES THAT THE DISTINCTION BETWEEN HIMSELF AND OTHERS WHICH TO THE BAD MAN IS SO GREAT A GULF ONLY BELONGS TO A FLEETING AND ILLUSIVE PHENOMENON
7641-96252-0007	HE RECOGNISES HIMSELF HIS WILL IN EVERY BEING AND CONSEQUENTLY ALSO IN THE SUFFERER
7641-96252-0008	BUT THE LATTER IS THE NECESSARY AND INEVITABLE SYMPTOM OF THAT KNOWLEDGE
7641-96252-0009	THE OPPOSITE OF THE STING OF CONSCIENCE THE ORIGIN AND SIGNIFICANCE OF WHICH IS EXPLAINED ABOVE IS THE GOOD CONSCIENCE THE SATISFACTION WHICH WE EXPERIENCE AFTER EVERY DISINTERESTED DEED
7641-96252-0010	THE GOOD MAN LIVES IN A WORLD OF FRIENDLY INDIVIDUALS THE WELL BEING OF ANY OF WHOM HE REGARDS AS HIS OWN
7641-96252-0011	THEREFORE ALTHOUGH THE KNOWLEDGE OF THE LOT OF MANKIND GENERALLY DOES NOT MAKE HIS DISPOSITION A JOYFUL ONE YET THE PERMANENT KNOWLEDGE OF HIS OWN NATURE IN ALL LIVING BEINGS GIVES HIM A CERTAIN EVENNESS AND EVEN SERENITY OF DISPOSITION
7641-96252-0012	FOR THE INTEREST WHICH IS EXTENDED TO INNUMERABLE MANIFESTATIONS CANNOT CAUSE SUCH ANXIETY AS THAT WHICH IS CONCENTRATED UPON ONE
7641-96252-0013	THE ACCIDENTS WHICH CONCERN INDIVIDUALS COLLECTIVELY EQUALISE THEMSELVES WHILE THOSE WHICH HAPPEN TO THE PARTICULAR INDIVIDUAL CONSTITUTE GOOD OR BAD FORTUNE
7641-96252-0014	THUS THOUGH OTHERS HAVE SET UP MORAL PRINCIPLES WHICH THEY GIVE OUT AS PRESCRIPTIONS FOR VIRTUE AND LAWS WHICH IT WAS NECESSARY TO FOLLOW I AS HAS ALREADY BEEN SAID CANNOT DO THIS BECAUSE I HAVE NO OUGHT OR LAW TO PRESCRIBE TO THE ETERNALLY FREE WILL
7641-96252-0015	FURTHER THAN THIS IT CANNOT GO FOR THERE EXISTS NO REASON FOR PREFERRING THE INDIVIDUALITY OF ANOTHER TO ITS OWN
7641-96252-0016	YET THE NUMBER OF OTHER INDIVIDUALS WHOSE WHOLE HAPPINESS OR LIFE IS IN DANGER MAY OUTWEIGH THE REGARD FOR ONE'S OWN PARTICULAR WELL BEING
7641-96252-0017	SO DIED SOCRATES AND GIORDANO BRUNO AND SO MANY A HERO OF THE TRUTH SUFFERED DEATH AT THE STAKE AT THE HANDS OF THE PRIESTS
7641-96252-0018	WEEPING IS ACCORDINGLY SYMPATHY WITH OUR OWN SELVES OR SYMPATHY DIRECTED BACK ON ITS SOURCE
7641-96252-0019	IT IS THEREFORE CONDITIONAL UPON THE CAPACITY FOR LOVE AND SYMPATHY AND ALSO UPON IMAGINATION
7641-96252-0020	WHEN WE ARE MOVED TO TEARS NOT THROUGH OUR OWN SUFFERING BUT THROUGH THAT OF ANOTHER THIS HAPPENS AS FOLLOWS
7641-96252-0021	EITHER WE VIVIDLY PUT OURSELVES IN THE PLACE OF THE SUFFERER BY IMAGINATION OR SEE IN HIS FATE THE LOT OF HUMANITY AS A WHOLE AND CONSEQUENTLY FIRST OF ALL OUR OWN LOT AND THUS IN A VERY ROUNDABOUT WAY IT IS YET ALWAYS ABOUT OURSELVES THAT WE WEEP SYMPATHY WITH OURSELVES WHICH WE FEEL THIS SEEMS TO BE THE PRINCIPAL REASON OF THE UNIVERSAL AND THUS NATURAL WEEPING IN THE CASE OF DEATH
7641-96252-0022	FIRST OF ALL HE CERTAINLY WEEPS FOR THE FATE OF THE DEAD BUT HE ALSO WEEPS WHEN AFTER LONG HEAVY AND INCURABLE SUFFERING DEATH WAS TO THIS MAN A WISHED FOR DELIVERANCE
7641-96670-0000	THEY WERE IN THE LAND THIS PEOPLE SAID BEFORE THE MOON HAD COME INTO THE SKY
7641-96670-0001	AND MANY OF THE MAGICIANS OF EGYPT WHO HAD COME WITH KING SESOSTRIS STAYED IN THAT CITY OF AEA AND THEY TAUGHT PEOPLE SPELLS THAT COULD STAY THE MOON IN HER GOING AND COMING IN HER RISING AND SETTING
7641-96670-0002	MEDEA TOO HIS WISE DAUGHTER KNEW THE SECRETS TAUGHT BY THOSE WHO COULD SWAY THE MOON
7641-96670-0003	FOR JASON WAS THE GRANDSON OF CRETHEUS AND CRETHEUS WAS THE BROTHER OF ATHAMAS THEIR GRANDFATHER
7641-96670-0004	JASON TOOK PELEUS AND TELAMON WITH HIM
7641-96670-0005	AS THEY CAME TO THE CITY A MIST FELL AND JASON AND HIS COMRADES WITH THE SONS OF PHRIXUS WENT THROUGH THE CITY WITHOUT BEING SEEN
7641-96670-0006	THE MIST LIFTED AND BEFORE THE HEROES WAS THE WONDER OF THE PALACE IN THE BRIGHT LIGHT OF THE MORNING
7641-96670-0007	ON EACH SIDE OF THE COURTYARD WERE THE PALACE BUILDINGS IN ONE KING A EETES LIVED WITH APSYRTUS HIS SON AND IN THE OTHER CHALCIOPE AND MEDEA LIVED WITH THEIR HANDMAIDENS
7641-96670-0008	AND THEN A DOVE FLEW TOWARD HER IT WAS BEING CHASED BY A HAWK AND MEDEA SAW THE HAWK'S EYES AND BEAK
7641-96670-0009	WE PULLED AWAY FROM THAT PLACE AND THEREAFTER WE WERE DRIVEN BY THE WINDS BACK TO THE MOUTH OF THE PHASIS
7641-96670-0010	WITH HIM THERE CAME THE MIGHTIEST OF THE HEROES OF GREECE
7641-96670-0011	ALREADY HE HAS HEARD OF YOUR BITTER FOES THE SAUROMATAE
7641-96670-0012	HE WITH HIS COMRADES WOULD SUBDUE THEM FOR YOU
7641-96670-0013	A EETES'S HEART WAS FILLED WITH WRATH AS HE LOOKED UPON THEM AND HIS EYES SHONE AS A LEOPARD'S EYES
7641-96670-0014	AND THEN SPEAKING TO THE KING IN A QUIET VOICE JASON SAID
7641-96670-0015	HIS HEART WAS DIVIDED AS TO WHETHER HE SHOULD SUMMON HIS ARMED MEN AND HAVE THEM SLAIN UPON THE SPOT OR WHETHER HE SHOULD PUT THEM INTO DANGER BY THE TRIAL HE WOULD MAKE OF THEM
7641-96670-0016	IT MAY BE THAT YE ARE TRULY OF THE SEED OF THE IMMORTALS
7641-96670-0017	AND IT MAY BE THAT I SHALL GIVE YOU THE GOLDEN FLEECE TO BEAR AWAY AFTER I HAVE MADE TRIAL OF YOU
7641-96670-0018	SHE ENTERED SOFTLY AND SHE STOOD AWAY FROM HER FATHER AND THE FOUR WHO WERE SPEAKING WITH HIM
7641-96670-0019	SHE HAD A DARK FACE THAT WAS MADE VERY STRANGE BY HER CROWN OF GOLDEN HAIR
7641-96670-0020	KNOW THAT ON THE PLAIN OF ARES YONDER I HAVE TWO FIRE BREATHING BULLS WITH FEET OF BRASS
7641-96670-0021	THEN I SOWED THE FURROWS NOT WITH THE SEED THAT DEMETER GIVES BUT WITH TEETH OF A DRAGON
7641-96670-0022	IF YOU CAN ACCOMPLISH THIS THAT I ACCOMPLISHED IN DAYS GONE BY I SHALL SUBMIT TO YOU AND GIVE YOU THE GOLDEN FLEECE
7641-96670-0023	BUT IF YOU CANNOT ACCOMPLISH WHAT I ONCE ACCOMPLISHED YOU SHALL GO FROM MY CITY EMPTY HANDED FOR IT IS NOT RIGHT THAT A BRAVE MAN SHOULD YIELD AUGHT TO ONE WHO CANNOT SHOW HIMSELF AS BRAVE
7641-96670-0024	THEN JASON UTTERLY CONFOUNDED CAST HIS EYES UPON THE GROUND
7641-96670-0025	I WILL DARE THIS CONTEST MONSTROUS AS IT IS
7641-96670-0026	AS HE SAID THIS HE SAW THE EYES OF MEDEA GROW WIDE AS WITH FEAR
7641-96670-0027	PHRONTIS AND MELAS WENT TO WHERE THEIR MOTHER WAS
7641-96684-0000	AND AS A MORTAL APOLLO SOUGHT TO EARN HIS BREAD AMONGST MEN
7641-96684-0001	AFTERWARD PEOPLE WONDERED AT ADMETUS'S EVER SMILING FACE AND EVER RADIANT BEING
7641-96684-0002	THAT WAS BEFORE ADMETUS SAILED ON THE ARGO WITH JASON AND THE COMPANIONS OF THE QUEST
7641-96684-0003	THEREAFTER ADMETUS HAVING THE LOVE OF ALCESTIS WAS EVEN MORE HAPPY THAN HE HAD BEEN BEFORE
7641-96684-0004	A RADIANT FIGURE IT WAS AND ADMETUS KNEW THAT THIS WAS APOLLO COME TO HIM AGAIN
7641-96684-0005	BUT APOLLO TURNED TO ADMETUS A FACE THAT WAS WITHOUT JOY
7641-96684-0006	WHAT YEARS OF HAPPINESS HAVE BEEN MINE O APOLLO THROUGH YOUR FRIENDSHIP FOR ME SAID ADMETUS
7641-96684-0007	BUT STILL APOLLO STOOD BEFORE HIM WITH A FACE THAT WAS WITHOUT JOY
7641-96684-0008	HE SPOKE AND HIS VOICE WAS NOT THAT CLEAR AND VIBRANT VOICE THAT HE HAD ONCE IN SPEAKING TO ADMETUS
7641-96684-0009	ADMETUS ADMETUS HE SAID IT IS FOR ME TO TELL YOU THAT YOU MAY NO MORE LOOK ON THE BLUE SKY NOR WALK UPON THE GREEN EARTH
7641-96684-0010	IT IS FOR ME TO TELL YOU THAT THE GOD OF THE UNDERWORLD WILL HAVE YOU COME TO HIM ADMETUS ADMETUS KNOW THAT EVEN NOW THE GOD OF THE UNDERWORLD IS SENDING DEATH FOR YOU
7641-96684-0011	IF ONE WILL GO WILLINGLY IN THY PLACE WITH DEATH THOU CANST STILL LIVE ON GO ADMETUS
7641-96684-0012	AND THEN HE CAME UPON AN ANCIENT WOMAN WHO SAT UPON STONES IN THE COURTYARD GRINDING CORN BETWEEN TWO STONES
